datetime,open,max,min,close,volume,,,,,,,
 2015/05/21-10:30,4456.43,4476.91,4438.63,4467.27,24787493,4353.67,4293.52,           ,           ,           ,           ,           
 2015/05/21-11:30,4467.91,4497.05,4465.43,4496.1,13503653,4354.27,4297.93,           ,           ,           ,           ,           
 2015/05/21-14:00,4496.03,4510.3,4464.92,4484.36,16109272,4354.43,4301.97,           ,           ,           ,           ,           
 2015/05/21-15:00,4483.88,4530.18,4472.7,4529.42,18507637,4355.31,4306.43,           ,           ,           ,           ,           
 2015/05/22-10:30,4584.98,4606.54,4563.29,4569.35,41542443,4356.74,4311.72,           ,           ,           ,           ,           
 2015/05/22-11:30,4568.68,4618.62,4565.64,4617.02,18717533,4359.15,4317.31,           ,           ,           ,           ,           
 2015/05/22-14:00,4618.14,4636.62,4609.66,4633.26,17252181,4361.66,4323.18,           ,           ,           ,           ,           
 2015/05/22-15:00,4633.33,4657.95,4629.67,4657.6,23205163,4365.25,4329.02,           ,           ,           ,           ,           
 2015/05/25-10:30,4660.08,4756.3,4656.98,4749.85,42109798,4370.44,4335.45,           ,           ,           ,           ,           
 2015/05/25-11:30,4750.42,4771.19,4732.93,4765.69,20249912,4375.21,4341.72,           ,           ,           ,           ,           
 2015/05/25-14:00,4767.54,4797.07,4767.54,4792.38,19786340,4380.7,4348.24,           ,           ,           ,           ,           
 2015/05/25-15:00,4792.97,4814.67,4758.74,4813.8,25783506,4386.25,4354.74,           ,           ,           ,           ,           
 2015/05/26-10:30,4854.85,4865.74,4779.36,4839.54,44975124,4392.66,4361.07,           ,           ,           ,           ,           
 2015/05/26-11:30,4839.03,4892.86,4833.47,4892.73,21028440,4400.9,4367.72,           ,           ,           ,           ,           
 2015/05/26-14:00,4893.39,4903.54,4836.85,4875.38,23468382,4409.26,4374.23,           ,           ,           ,           ,           
 2015/05/26-15:00,4875.41,4911.46,4875.02,4910.9,24378985,4419.47,4380.81,           ,           ,           ,           ,           
 2015/05/27-10:30,4932.85,4958.05,4857.15,4915.89,45222067,4429.68,4387.48,           ,           ,           ,           ,           
 2015/05/27-11:30,4915.61,4944.97,4904.13,4918.79,20770088,4439.05,4393.79,           ,           ,           ,           ,           
